2024-01-30 23:01:73 INFO  HomePage :29 - clickOnSignUpButton: [[ChromeDriver: chrome on windows (8f72e7f47164894947ef89816639e163)] -> css selector: .buttons__login_bar--create-account.bvs-button.is-primary]
2024-01-30 23:01:20 INFO  HomePage :34 - enterFirstName: [[ChromeDriver: chrome on windows (8f72e7f47164894947ef89816639e163)] -> id: first_name]
2024-01-30 23:01:890 INFO  HomePage :38 - enterLastName: [[ChromeDriver: chrome on windows (8f72e7f47164894947ef89816639e163)] -> id: last_name]
2024-01-30 23:01:496 INFO  HomePage :42 - clickOnContinueButton: [[ChromeDriver: chrome on windows (8f72e7f47164894947ef89816639e163)] -> css selector: button[type='regpath-button-next']]
2024-01-31 00:01:967 INFO  HomePage :29 - clickOnSignUpButton: [[ChromeDriver: chrome on windows (0fbc0e8d8cac20f8305de461c4140007)] -> css selector: .buttons__login_bar--create-account.bvs-button.is-primary]
2024-01-31 00:01:976 INFO  HomePage :29 - clickOnSignUpButton: [[ChromeDriver: chrome on windows (409c354af24262ad960d7c785885481e)] -> css selector: .buttons__login_bar--create-account.bvs-button.is-primary]
2024-01-31 00:01:227 INFO  HomePage :29 - clickOnSignUpButton: [[ChromeDriver: chrome on windows (c2731b88e2265a1ede55f9c5caab905c)] -> css selector: .buttons__login_bar--create-account.bvs-button.is-primary]
2024-01-31 00:01:424 INFO  HomePage :34 - enterFirstName: [[ChromeDriver: chrome on windows (c2731b88e2265a1ede55f9c5caab905c)] -> id: first_name]
2024-01-31 00:01:791 INFO  HomePage :38 - enterLastName: [[ChromeDriver: chrome on windows (c2731b88e2265a1ede55f9c5caab905c)] -> id: last_name]
2024-01-31 00:01:54 INFO  HomePage :42 - clickOnContinueButton: [[ChromeDriver: chrome on windows (c2731b88e2265a1ede55f9c5caab905c)] -> css selector: button[type='regpath-button-next']]
2024-01-31 00:01:889 INFO  HomePage :29 - clickOnSignUpButton: [[ChromeDriver: chrome on windows (bd66e71cc558d6c519a5b8137576ab7e)] -> css selector: .buttons__login_bar--create-account.bvs-button.is-primary]
2024-01-31 00:01:593 INFO  HomePage :34 - enterFirstName: [[ChromeDriver: chrome on windows (bd66e71cc558d6c519a5b8137576ab7e)] -> id: first_name]
2024-01-31 00:01:524 INFO  HomePage :38 - enterLastName: [[ChromeDriver: chrome on windows (bd66e71cc558d6c519a5b8137576ab7e)] -> id: last_name]
2024-01-31 00:01:76 INFO  HomePage :42 - clickOnContinueButton: [[ChromeDriver: chrome on windows (bd66e71cc558d6c519a5b8137576ab7e)] -> css selector: button[type='regpath-button-next']]
2024-01-31 00:01:280 INFO  HomePage :29 - clickOnSignUpButton: [[ChromeDriver: chrome on windows (0132f9c8840b554dbc0e26d2644edcb4)] -> css selector: .buttons__login_bar--create-account.bvs-button.is-primary]
2024-01-31 00:01:869 INFO  HomePage :34 - enterFirstName: [[ChromeDriver: chrome on windows (0132f9c8840b554dbc0e26d2644edcb4)] -> id: first_name]
2024-01-31 00:01:642 INFO  HomePage :38 - enterLastName: [[ChromeDriver: chrome on windows (0132f9c8840b554dbc0e26d2644edcb4)] -> id: last_name]
2024-01-31 00:01:762 INFO  HomePage :42 - clickOnContinueButton: [[ChromeDriver: chrome on windows (0132f9c8840b554dbc0e26d2644edcb4)] -> css selector: button[type='regpath-button-next']]
2024-01-31 00:01:982 INFO  HomePage :29 - clickOnSignUpButton: [[ChromeDriver: chrome on windows (b7019d523531a79ca0a946bcb5e318b8)] -> css selector: .buttons__login_bar--create-account.bvs-button.is-primary]
2024-01-31 00:01:465 INFO  HomePage :34 - enterFirstName: [[ChromeDriver: chrome on windows (b7019d523531a79ca0a946bcb5e318b8)] -> id: first_name]
2024-01-31 00:01:372 INFO  HomePage :38 - enterLastName: [[ChromeDriver: chrome on windows (b7019d523531a79ca0a946bcb5e318b8)] -> id: last_name]
2024-01-31 00:01:905 INFO  HomePage :42 - clickOnContinueButton: [[ChromeDriver: chrome on windows (b7019d523531a79ca0a946bcb5e318b8)] -> css selector: button[type='regpath-button-next']]
